stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\fufux\Documents\ProjetoIntegrador\game\project\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.08801] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08807] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.08812] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08816] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.08820] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08825] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.08831] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08837] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.08843] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08849] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.08853] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08859] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.08864] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08871] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.08876] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08882] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.08886] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08892] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.08899] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08905] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.08909] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08913] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.08917] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08923] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.08927] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08933] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.08937] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08942] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.08946] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08953] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.08958] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08963] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.08968] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08973] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.08977] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08981] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.08985] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08990] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.08994] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08999] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.09003] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09009] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.09016] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09023] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09028] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09033] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09039] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09045] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.09050] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09055] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.09060] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09065] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.09071] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09077] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09083] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09089] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09095] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09100] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.09105] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09110] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.09115] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09120] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.09125] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09130] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09134] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09138] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09142] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09146] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09150] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09153] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09157] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09160] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09164] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09168] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09172] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09176] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09182] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09187] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09193] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09198] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09203] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09211] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09215] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09219] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09225] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09232] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09237] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09244] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09249] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09255] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09260] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09266] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09270] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09276] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09287] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09293] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09299] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09304] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09309] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09313] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09317] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09322] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09328] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09333] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09339] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09344] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09351] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09358] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09371] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09377] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09382] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09388] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09393] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09400] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09405] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09411] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09416] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09421] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09427] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09434] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09438] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09443] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09449] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09456] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09468] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09475] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09480] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09487] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09492] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09498] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09502] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09506] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09510] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09515] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09520] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09525] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09531] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09536] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09541] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09546] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09550] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09556] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09562] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09568] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09573] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09577] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09581] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09585] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09588] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09593] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09597] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09602] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09606] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09610] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09613] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09618] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09621] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09625] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09628] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09632] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09637] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09642] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09648] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09654] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09658] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09664] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09670] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09676] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09681] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09685] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09691] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09696] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09699] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09705] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09710] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09715] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09719] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09725] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09730] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09736] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09741] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09747] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09753] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09760] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09766] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09772] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09777] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09783] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09789] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09795] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09800] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09806] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09810] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09816] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09821] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09826] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09831] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09837] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09841] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09847] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09853] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09858] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09862] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09869] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09873] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09879] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09884] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09890] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09894] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09900] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09904] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09910] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09914] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09920] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09925] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09930] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.09934] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09938] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.09942] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09948] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.09958] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09965] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.09970] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09976] Single Buffer requirement not met.
